name,nationality,first hired,1901 primary rank,1901 date promoted to primary,1901 secondary job,1901 date promoted to secondary,1901 other details,1901 location/last port,1901 on leave?,1906 primary rank,1906 date promoted to primary,1906 secondary job,1906 date promoted to secondary,1906 other details,1906 location/last port,1906 on leave?
E. B. Drew,American,1865 October,Commissioner,1868 October,,,,Tientsin,Shanghai Unattached List,,,,,,,
G. Detring,German,1865 April,Commissioner,1872 March,,,,Tientsin,,,,,,,,
James H. Hart,British,1867 August,Commissioner,1872 October,,,formerly at Inspectorate General (detached),Peking,Shanghai Unattached List,,,,,,,
J. D. Campbell,British,1863 April,Commissioner,1872 November,,,,London,,,,,,,,
H. E. Hobson,British,1862 May,Commissioner,1873 April,,,,Shanghai,,,,,,,,
A. Novion,French,1863 January,Commissioner,1875 April,,,,Wenchow,Shanghai Unattached List,,,,,,,
J. McLeavy Brown,British,1870 April,Commissioner,1877 February,,,,Detached,,,,,,,,
C. L. Simpson,British,1861 May,Commissioner,1877 October,,,,Amoy,,,,,,,,
W. T. Lay,British,1862 October,Commissioner,1877 October,,,,Foochow,,,,,,,,
R. B. Moorhead,British,1868 July,Commissioner,1877 October,,,,Kowloon,,,,,,,,
E. Faragó,Hungarian,1873 November,Commissioner,1881 March,,,,Chinkiang,,,,,,,,
A. E. Hippisley,British,1867 October,Commissioner,1882 April,,,,Hankow,,,,,,,,
H. Edgar,British,1868 August,Commissioner,1883 April,,,,Shasi,,,,,,,,
T. F. Hughes,British,1865 March,Commissioner,1885 June,,,,Kiukiang,,,,,,,,
H. F. Merrill,American,1874 September,Commissioner,1887 January,,,,Wuhu,,,,,,,,
F. A. Morgan,British,1864 July,Commissioner,1887 March,,,,Canton,,,,,,,,
E. Ohlmer,German,1868 May,Commissioner,1887 July,,,,Kiaochow,,Commissioner,1887 July,,,,Kiaochow,
F. A. Carl,American,1881 December,Commissioner,1889 April,,,,Lappa,,,,,,,,
Ls. Rocher,French,1869 October,Commissioner,1889 June,,,,Shanghai,Shanghai Unattached List,,,,,,,
J. F. Schœnicke,German,1869 November,Commissioner,1889 October,,,,Shanghai,Shanghai Unattached List,,,,,,,
F. E. Taylor,British,1877 January,Commissioner,1894 May,,,,Shanghai,,,,,,,,
J. W. Carrall,British,1868 August,Commissioner,1896 April,,,,Chefoo,,,,,,,,
A. T. Piry,French,1874 April,Commissioner,1896 April,,,,Peking,,,,,,,,
F. Schjöth,Norwegian,1868 March,Commissioner,1896 April,,,,Ningpo,,,,,,,,
H. M. Hillier,British,1872 August,Commissioner,1896 April,,,,Shanghai,,,,,,,,
W. F. Spinney,American,1874 August,Commissioner,1896 June,,,,Mengtsz,Canton Unattached List,,,,,,,
H. B. Morse,American,1874 August,Commissioner,1896 June,,,,Hankow,Shanghai Unattached List,,,,,,,
F. S. Unwin,British,1868 September,Commissioner,1897 February,,,,Ichang,,,,,,,,
W. N. Morehouse,American,1868 April,Commissioner,1897 February,,,,Amoy,Canton Unattached List,,,,,,,
S. Campbell,British,1872 August,Commissioner,1897 May,,,,Swatow,,,,,,,,
F. A. Aglen,British,1888 December,Commissioner,1897 November,,,,Nanking,,,,,,,,
P. H. S. Montgomery,British,1876 July,Commissioner,1898 April,,,,Yatung,Canton Unattached List,,,,,,,
J. A. van Aalst,Belgian,1881 March,Commissioner,1899 January,,,,Shanghai,,,,,,,,
P. von Tanner,Russian,1881 September,Commissioner,1899 January,,,,Foochow,Canton Unattached List,,,,,,,
C. C. Clarke,American,1874 August,Commissioner,1899 March,,,,Soochow,,,,,,,,
J. R. Brazier,British,1878 April,Commissioner,1899 March,,,"Inspectorate General, Shanghai",Shanghai,Shanghai Unattached List,,,,,,,
J. Neumann,German,1878 January,Commissioner,1899 March,,,,Kiungchow,Canton Unattached List,,,,,,,
J. H. Hunt,British,1875 August,Commissioner,1900 April,,,,Hankow,Shanghai Unattached List,,,,,,,
P. H. King,British,1874 January,Commissioner,1900 April,,,,Pakhoi,,,,,,,,
J. F. Oiesen,Danish,1877 July,Commissioner,1900 May,,,,Detached,Shanghai Unattached List,,,,,,,
A. Lay,British,1867 April,Deputy Commissioner,1893 October,Acting Commissioner,1900 April,,Wenchow,,,,,,,,
W. McC. Osborne,British,1882 September,Deputy Commissioner,1896 February,ActCom or AsstInCharge,,,Detached,,,,,,,,
T. E. Cocker,British,1869 June,Deputy Commissioner,1897 April,,,,Kowloon,,,,,,,,
E. V. Brenan,British,1871 April,Deputy Commissioner,1897 June,ActCom or AsstInCharge,,,Kowloon,Canton Unattached List,,,,,,,
J. C. Johnston,British,1877 July,Deputy Commissioner,1898 April,ActCom or AsstInCharge,,,Shanghai,Shanghai Unattached List,,,,,,,
F. J. Smith,British,1876 June,Deputy Commissioner,1898 May,,,,Amoy,,,,,,,,
C. H. Brewitt-Taylor,British,1891 November,Deputy Commissioner,1899 January,,,,Swatow,Canton Unattached List,,,,,,,
E. L. Lépissier,French,1869 November,Deputy Commissioner,1899 March,,,"Inspectorate General, Shanghai",Shanghai,Shanghai Unattached List,,,,,,,
F. W. Maze,British,1891 December,Deputy Commissioner,1899 March,,,,Foochow,,,,,,,,
P. B. von Rautenfeld,Russian,1893 October,Deputy Commissioner,1899 March,,,,Foochow,Canton Unattached List,,,,,,,
J. Acheson,British,1874 July,Deputy Commissioner,1900 April,Acting Commissioner,1901 May,,Kiungchow,,,,,,,,
E. Bruce Hart,British,1894 November,Deputy Commissioner,1901 April,,,,London,,,,,,,,
J. L. Chalmers,British,1873 October,Deputy Commissioner,1901 April,,,,Detached,,,,,,,,
E. H. Grimani,British,1872 November,Deputy Commissioner,1898 April,,,extra-Likin,Kiukiang,,,,,,,,
G. F. Montgomery,British,1880 July,Deputy Commissioner,1898 April,Deputy Commissioner-in-Charge (temporarily),1899 April,extra-Likin,Hangchow,,,,,,,,
H. E. Wolf,German,1888 April,Deputy Commissioner,1898 April,,,extra-Likin,Wuhu,,,,,,,,
R. de Luca,Italian,1888 January,Deputy Commissioner,1898 April,,,extra-Likin,Hankow,,,,,,,,
W. R. M'D. Parr,British,1887 September,Deputy Commissioner,1898 April,,,extra-Likin,Ichang,Shanghai Unattached List,,,,,,,
F. J. Mayers,British,1889 June,Deputy Commissioner,1898 April,,,extra-Likin,Soochow,Shanghai Unattached List,,,,,,,
W. Hancock,British,1874 July,"First Assistant, A",1898 May,Acting Commissioner,1900 July,,Chungking,,,,,,,,
J. H. Macoun,British,1888 May,"First Assistant, B",1900 August,Acting Commissioner,1900 April,"Acting Audit Secretary, I.G.",Shanghai,,,,,,,,
C. A. V. Bowra,British,1866 October,"Second Assistant, A",1900 October,Assistant-in-Charge,1899 June,,Newchwang,,,,,,,,
F. W. Carey,British,1892 June,"Third Assistant, B",1899 December,Assistant-in-Charge,1899 October,,Szemao,,,,,,,,
E. Alabaster,British,1889 June,"Third Assistant, A",1899 December,Assistant-in-Charge,1900 February,,Samshui,,,,,,,,
P. C. Hansson,Norwegian,1894 November,"Third Assistant, B",1901 April,Assistant-in-Charge,1900 May,,Yochow,,,,,,,,
A. H. Harris,British,1883 July,"First Assistant, B",1901 April,Assistant-in-Charge,1900 June,formerly AsstInCharge at Wuchow,Ningpo,,,,,,,,
V. C. Henderson,British,1899 January,"Fourth Assistant, B",1899 January,Assistant-in-Charge,1900 October,,Yatung,,,,,,,,
O. Tiberii,Italian,1881 November,"Second Assistant, A",1899 May,Assistant-in-Charge,1900 December,,Mengtsz,,,,,,,,
J. H. Fougerat,French,1880 August,"Second Assistant, A",1897 February,Assistant-in-Charge,1901 April,,Lungchow,,,,,,,,
P. R. Walsham,British,1894 May,"Third Assistant, A",1899 July,Assistant-in-Charge,1901 June,,Kiukiang,,,,,,,,
A. Nielsen,Norwegian,1888 February,Acting Deputy Commissioner,1899 April,Detached from 3º. Coast,,,Canton,,,,,,,,
E. G. Lowder,British,1882 September,"First Assistant, B",1899 April,Acting Deputy Commissioner,1899 July,"Acting Assistant Secretary, I.G.",Shanghai,,,,,,,,
E. T. Pym,British,1882 September,"Second Assistant, A",1900 March,Acting Deputy Commissioner,1900 March,,Hankow,,,,,,,,
W. C. H. Watson,British,1887 July,"Second Assistant, B",1900 March,Acting Deputy Commissioner,1900 March,extra-Likin,Ichang,,,,,,,,
G. T. Moule,British,1889 February,"Second Assistant, B",1900 March,Acting Deputy Commissioner,1900 March,extra-Likin,Soochow,,,,,,,,
