1901 promotion wait,"1 jul 1901, date appointed to present rank",name
-71,1881 April,1
-43,1889 December,1
-9,1889 December,1
-5,1891 May,1
-4,1891 May,1
-2,1889 December,1
0,1882 September,1
0,1888 June,1
0,1888 September,1
0,1890 June,1
0,1896 December,1
0,1897 January,2
0,1897 April,2
0,1897 May,2
0,1897 June,1
0,1897 August,2
0,1897 October,3
0,1898 February,2
0,1898 April,2
0,1898 May,2
0,1898 June,8
0,1898 July,3
0,1898 August,2
0,1898 September,1
0,1898 October,1
0,1898 November,1
0,1898 December,2
0,1899 January,5
0,1899 February,4
0,1899 March,6
0,1899 May,5
0,1899 June,1
0,1899 July,2
0,1899 August,1
0,1899 September,3
0,1899 October,2
0,1900 February,2
0,1900 April,1
0,1900 May,2
0,1900 August,1
0,1900 October,3
0,1901 March,3
0,1901 June,2
1,1897 March,2
1,1898 June,1
1,1898 July,1
1,1900 April,2
1,1901 April,5
2,1897 March,1
2,1898 April,2
2,1900 November,1
2,1901 May,1
2,1901 June,1
3,1881 November,1
3,1897 May,2
3,1897 June,1
3,1897 October,2
3,1897 November,1
3,1898 April,1
3,1898 June,1
3,1898 July,1
3,1901 April,1
3,1901 July,1
4,1897 May,1
4,1897 July,1
4,1897 August,3
4,1897 November,2
4,1898 June,2
4,1899 March,1
4,1900 June,1
4,1900 September,1
4,1901 July,1
5,1897 August,1
5,1898 March,1
5,1898 April,1
5,1898 September,2
5,1898 November,1
5,1899 April,1
5,1899 September,1
5,1899 October,1
5,1899 November,2
5,1899 December,2
5,1900 May,1
5,1900 June,1
5,1900 July,1
6,1889 December,1
6,1897 November,1
6,1897 December,1
6,1898 October,1
6,1898 November,2
6,1898 December,2
6,1899 January,2
6,1899 February,3
6,1899 March,7
6,1899 April,1
6,1899 June,7
6,1899 July,3
6,1899 August,1
6,1899 September,3
6,1899 October,3
6,1899 December,1
6,1900 January,3
6,1900 February,1
6,1900 March,1
6,1900 April,1
6,1900 May,2
6,1901 February,2
6,1901 March,2
6,1901 May,1
7,1889 December,1
7,1891 May,1
7,1897 December,1
7,1898 September,1
7,1899 January,1
7,1899 February,1
7,1899 March,1
7,1899 April,2
7,1899 June,3
7,1899 July,2
7,1899 August,1
7,1899 October,3
7,1899 November,1
7,1900 January,1
7,1900 February,1
7,1900 March,1
7,1900 April,2
7,1900 May,1
7,1900 June,2
7,1900 November,2
7,1900 December,3
7,1901 April,1
8,1898 January,1
8,1898 February,1
8,1898 June,2
8,1899 April,1
8,1900 August,2
8,1901 January,1
8,1901 March,1
9,1897 December,1
9,1898 February,1
9,1898 March,1
9,1898 May,3
9,1900 August,2
9,1901 January,2
9,1901 April,1
10,1899 May,1
10,1901 April,2
11,1889 December,1
11,1899 October,1
12,1897 February,1
13,1898 September,1
18,1898 February,1
18,1898 May,1
18,1898 July,1
19,1898 July,1
20,1897 September,1
20,1898 May,1
20,1899 August,1
20,1900 February,1
20,1901 April,1
21,1899 January,1
21,1900 August,1
22,1898 May,1
22,1900 August,3
23,1898 May,1
23,1900 August,2
23,1900 October,1
24,1889 December,1
24,1898 May,1
25,1898 May,2
25,1899 June,1
25,1899 November,1
25,1900 November,1
25,1900 December,1
25,1901 January,1
27,1898 May,1
27,1900 February,1
27,1900 August,1
29,1900 August,1
30,1899 April,1
30,1899 October,1
30,1900 May,1
30,1900 August,1
34,1899 December,1
34,1900 March,1
34,1900 May,1
34,1900 June,1
34,1900 December,1
35,1899 December,1
36,1868 October,1
36,1900 May,1
38,1900 August,1
38,1901 January,1
39,1899 December,1
40,1899 December,1
40,1900 January,1
40,1900 May,1
40,1901 April,1
41,1899 December,1
42,1899 December,1
42,1900 May,1
43,1899 December,1
43,1900 August,1
44,1898 May,1
44,1899 December,1
44,1901 April,1
45,1900 May,1
45,1900 August,1
45,1900 December,1
47,1900 January,1
48,1898 November,1
48,1899 December,1
50,1900 March,1
50,1900 May,1
51,1901 April,1
53,1897 February,1
55,1881 April,1
55,1898 June,1
55,1900 April,1
55,1901 May,1
56,1881 March,1
56,1901 May,2
57,1899 August,1
59,1897 April,1
59,1899 July,1
59,1901 May,1
60,1901 May,1
61,1898 January,1
61,1901 May,1
62,1872 October,1
62,1899 July,1
62,1900 March,1
63,1897 June,1
63,1900 May,1
64,1877 February,1
65,1898 May,1
65,1899 March,1
68,1897 June,1
68,1901 May,1
69,1891 July,1
69,1900 May,1
70,1900 May,1
73,1899 July,1
73,1901 May,1
74,1898 December,1
74,1899 July,1
75,1900 June,1
75,1901 May,1
76,1897 February,1
76,1899 July,1
77,1901 April,2
77,1901 May,1
78,1899 December,1
78,1901 May,1
80,1901 May,1
82,1877 February,1
82,1892 September,1
83,1872 March,1
83,1892 August,1
83,1899 December,1
84,1878 April,1
85,1887 July,1
85,1894 August,1
86,1898 May,1
86,1899 January,1
87,1899 March,1
87,1899 December,1
88,1881 March,1
88,1889 April,1
90,1897 March,1
90,1897 August,1
90,1899 December,3
90,1900 May,1
91,1897 January,2
91,1899 July,1
93,1901 May,1
95,1901 May,1
96,1881 March,1
96,1899 July,1
97,1896 April,1
97,1899 February,1
97,1900 May,1
97,1900 December,1
98,1881 April,1
98,1899 January,1
98,1900 January,1
101,1889 February,1
102,1890 October,1
102,1898 June,1
103,1888 May,1
103,1901 May,1
104,1891 May,1
104,1899 July,1
104,1900 May,1
105,1899 July,1
105,1901 May,1
106,1897 June,1
106,1898 April,1
107,1897 November,1
107,1900 May,1
108,1897 May,1
108,1897 June,1
108,1898 June,1
108,1900 May,3
109,1893 January,1
109,1896 April,1
109,1899 January,1
111,1877 October,1
111,1891 November,1
112,1897 July,1
112,1901 May,1
113,1897 October,1
113,1901 April,3
114,1896 October,1
114,1899 July,1
114,1901 May,1
115,1872 November,1
115,1896 October,1
115,1901 May,1
116,1896 April,1
116,1899 July,1
116,1900 May,1
117,1873 May,1
117,1883 December,1
117,1892 November,1
117,1898 January,1
117,1898 July,1
117,1899 July,1
117,1901 May,1
118,1887 February,1
118,1899 July,1
119,1890 December,1
119,1897 March,1
119,1899 July,1
120,1897 March,1
120,1897 June,1
120,1897 October,1
120,1898 April,1
120,1898 May,2
121,1897 March,1
121,1898 June,2
121,1900 January,1
122,1898 July,1
122,1899 July,2
122,1901 May,2
123,1898 January,1
123,1898 April,1
123,1900 January,1
123,1900 May,1
124,1898 July,1
125,1897 January,1
125,1898 May,1
125,1900 January,1
125,1900 May,1
126,1898 October,1
126,1899 December,1
127,1896 April,1
127,1898 April,1
128,1897 June,1
129,1897 January,1
129,1898 January,1
129,1898 June,1
129,1900 May,1
130,1898 June,1
130,1898 July,1
130,1899 April,1
131,1873 April,1
132,1899 July,1
133,1900 March,1
134,1894 September,1
134,1899 April,1
135,1898 January,1
135,1898 June,2
138,1897 March,1
138,1900 March,1
138,1900 May,1
141,1898 July,2
141,1900 February,1
142,1883 April,1
142,1899 January,1
143,1899 July,1
143,1900 August,1
144,1901 April,1
145,1874 June,1
146,1899 January,1
147,1875 April,1
147,1899 January,1
147,1900 August,1
148,1887 January,1
149,1898 June,1
150,1900 April,1
151,1899 December,1
152,1900 March,2
153,1888 August,1
153,1898 June,1
153,1901 May,1
155,1896 March,1
156,1888 October,1
156,1896 April,1
156,1897 March,1
157,1888 April,1
159,1899 July,1
159,1900 March,1
161,1888 July,1
161,1896 February,1
161,1900 March,1
162,1900 July,1
162,1900 December,1
165,1899 July,1
165,1901 April,1
167,1898 June,1
168,1896 April,2
169,1896 April,1
170,1897 October,1
171,1897 June,1
172,1896 April,1
173,1887 April,1
173,1891 March,1
173,1896 April,1
174,1882 April,1
174,1898 March,1
175,1891 October,1
176,1883 April,1
177,1890 April,1
177,1896 July,1
177,1898 January,1
178,1893 December,1
180,1877 October,1
180,1898 July,2
182,1896 March,1
183,1898 June,1
186,1892 April,1
186,1897 February,1
187,1899 July,1
188,1883 May,1
188,1899 July,1
190,1897 January,1
190,1897 March,1
191,1880 April,1
192,1899 June,1
194,1898 June,1
195,1890 July,1
195,1898 July,1
195,1899 July,1
197,1877 October,1
198,1897 February,1
198,1897 June,1
199,1899 April,1
200,1881 April,1
200,1898 May,1
200,1898 October,1
200,1899 December,1
201,1900 December,1
202,1897 July,2
203,1900 December,1
204,1898 July,1
204,1900 April,1
205,1898 July,1
206,1890 April,1
206,1894 August,1
207,1898 July,1
208,1894 May,1
208,1897 April,1
208,1899 January,1
208,1901 May,1
209,1890 August,1
210,1899 January,1
210,1899 May,2
210,1900 March,1
210,1900 April,1
210,1900 July,1
210,1900 October,1
211,1900 April,1
213,1898 February,1
213,1898 April,1
213,1901 April,1
214,1899 January,1
215,1899 July,1
216,1899 April,1
217,1897 June,1
223,1899 December,1
225,1898 July,1
226,1899 December,1
227,1901 April,1
228,1898 July,1
230,1887 July,1
230,1897 July,1
231,1900 February,1
232,1888 August,1
236,1889 June,1
237,1881 April,1
237,1896 July,1
237,1898 July,1
239,1889 October,1
239,1901 May,1
240,1894 August,1
240,1896 April,1
241,1900 February,1
243,1885 June,1
243,1901 April,1
243,1901 May,1
245,1898 June,1
246,1897 June,2
247,1897 September,1
249,1898 April,1
251,1899 March,1
252,1898 July,2
254,1887 April,1
254,1899 March,1
257,1901 May,1
261,1889 February,1
261,1891 April,1
261,1898 April,1
261,1899 April,1
262,1896 June,2
262,1901 May,1
263,1898 May,1
263,1898 July,1
264,1896 April,1
267,1898 July,1
270,1897 October,1
272,1887 March,1
272,1899 March,1
274,1900 January,1
274,1900 May,1
276,1899 April,1
282,1889 May,1
283,1899 October,1
284,1889 April,1
284,1896 April,1
284,1897 July,1
284,1900 January,1
286,1886 June,1
286,1897 February,1
286,1898 May,1
287,1897 February,1
293,1900 October,1
294,1901 April,1
295,1899 March,1
296,1900 April,1
297,1897 May,1
305,1889 September,1
305,1898 April,1
308,1899 November,1
308,1899 December,1
309,1900 April,1
312,1898 July,1
314,1897 June,1
315,1900 April,1
318,1893 October,1
321,1891 February,1
330,1901 April,1
332,1888 July,1
332,1890 September,1
332,1896 April,1
334,1897 April,1
337,1896 April,1
341,1897 February,1
346,1897 February,1
352,1899 March,1
361,1897 July,1
397,1896 March,1
399,1893 January,1
408,1900 October,1
452,1900 April,1
